ID;Voltage;Longitude;Latitude;node_start;node_end
1;500;106.869;-6.26;1;2
2;500;106.423;-6.2;3;4
3;500;106.916;-6.44;1;5
4;500;106.018;-5.989;7;8
5;500;106.916;-6.44;5;10
6;500;106.031;-5.897;3;11
10;500;106.031;-5.897;3;11
11;500;106.018;-5.989;7;11
12;500;106.793;-6.412;17;18
86;500;106.793;-6.412;5;18
87;500;106.788;-6.346;4;18
88;500;106.72;-6.188;4;24
89;500;106.031;-5.895;25;26
98;500;106.423;-6.2;3;4
100;500;109.1;-7.684;29;30
101;500;107.162;-6.378;31;32
102;500;110.71;-7.677;33;34
103;500;109.133;-7.583;30;35
105;500;106.999;-6.088;10;32
106;500;107.349;-6.673;31;39
107;500;107.349;-6.673;31;39
108;500;106.916;-6.44;5;43
109;500;107.35;-6.865;43;45
111;500;107.202;-7.058;17;47
113;500;110.409;-7.158;49;50
116;500;110.409;-7.158;50;52
117;500;110.409;-7.158;50;52
120;500;110.409;-7.158;34;50
256;500;107.349;-6.673;31;43
296;500;109.1;-7.684;29;30
298;500;106.433;-6.36;5;8
301;500;106.916;-6.44;5;43
306;500;107.35;-6.865;45;66
100308;500;109.133;-7.583;34;100132
101308;500;109.133;-7.583;35;100132
313;500;108.154;-6.823;69;70
314;500;108.235;-7.403;35;47
315;500;107.35;-6.865;45;66
316;500;106.045;-5.884;75;76
317;500;106.037;-5.887;25;76
331;500;107.202;-7.058;17;47
338;500;107.162;-6.378;31;32
339;500;109.133;-7.583;30;35
340;500;108.235;-7.403;35;47
341;500;106.999;-6.088;10;32
344;500;109.133;-7.583;34;35
345;500;107.35;-6.865;43;45
346;500;110.409;-7.158;49;50
433;500;107.349;-6.673;31;43
454;500;106.045;-5.884;75;76
455;500;106.037;-5.887;25;76
456;500;106.018;-5.989;7;11
457;500;106.793;-6.412;17;18
511;500;106.72;-6.188;4;24
512;500;106.788;-6.346;4;18
513;500;106.793;-6.412;5;18
535;500;106.869;-6.26;2;10
565;500;110.71;-7.677;33;34
585;500;108.485;-6.819;50;70
618;500;107.571;-7.06;66;118
619;500;108.154;-6.823;69;70
621;500;108.154;-6.823;69;118
667;500;108.485;-6.819;50;70
763;500;111.5;-7.241;52;126
764;500;112.602;-7.344;126;127
765;500;112.602;-7.344;126;130
768;500;112.036;-7.84;131;132
769;500;112.189;-7.29;126;134
806;500;111.512;-7.243;134;136
815;500;111.127;-7.433;33;138
853;500;113.025;-7.654;130;131
