ID_node,Longitude,Latitude,name
7,106.018,-5.989,Banten
11,106.031,-5.897,Banten
26,106.031,-5.895,Banten
25,106.037,-5.887,Banten
76,106.045,-5.884,Banten
75,106.089,-5.994,Banten
3,106.423,-6.2,Banten
8,106.433,-6.36,Jawa Barat
4,106.788,-6.346,Jawa Barat
18,106.793,-6.412,Jawa Barat
5,106.916,-6.44,Jawa Barat
1,106.983,-6.205,Jawa Barat
10,106.999,-6.088,Jawa Barat
32,107.162,-6.378,Jawa Barat
17,107.202,-7.058,Jawa Barat
31,107.349,-6.673,Jawa Barat
45,107.35,-6.865,Jawa Barat
43,107.354,-6.864,Jawa Barat
39,107.366,-6.698,Jawa Barat
66,107.571,-7.06,Jawa Barat
118,107.817,-6.964,Jawa Barat
69,108.154,-6.823,Jawa Barat
47,108.235,-7.403,Jawa Barat
70,108.485,-6.819,Jawa Barat
24,106.72,-6.188,Daerah Khusus Ibukota Jakarta
2,106.869,-6.26,Daerah Khusus Ibukota Jakarta
29,109.1,-7.684,Jawa Tengah
35,109.133,-7.583,Jawa Tengah
30,109.138,-7.681,Jawa Tengah
50,110.409,-7.158,Jawa Tengah
34,110.71,-7.677,Jawa Tengah
49,110.743,-6.448,Jawa Tengah
52,111.5,-7.241,Jawa Tengah
33,111.127,-7.433,Jawa Timur
136,111.512,-7.243,Jawa Timur
132,112.036,-7.84,Jawa Timur
138,112.037,-7.84,Jawa Timur
134,112.189,-7.29,Jawa Timur
126,112.602,-7.344,Jawa Timur
127,112.659,-7.165,Jawa Timur
130,113.025,-7.654,Jawa Timur
131,113.581,-7.718,Jawa Timur
100132,110.091,-7.894,Daerah Istimewa Yogyakarta
